State Abbreviation,State Name,Voter Turnout %,2019 Election,2019 Election Date,2019 Election Type,2019 Election Scope,2020 Election,2020 DEMOCRATIC Primary/Caucus Date,Primary/Caucus/Convention,2020 REPUBLICAN Primary/Caucus Date,Primary/Caucus/Convention,2020 Gen Election Date,ID Required,No-excuse Early Voting,Early voting/in person absentee voting begins,Early voting ends,Automatic Voter Registration?,Same day voter registration?,Online voter registration?
AL,Alabama,47.3,FALSE,null,null,null,TRUE,"March 3, 2020",Primary,"March 3, 2020",Primary,"November 3, 2020",Photo ID,FALSE,N/A,N/A,FALSE,FALSE,TRUE
AK,Alaska,54.6,FALSE,null,null,null,TRUE,"April 4, 2020",Primary,"March 3, 2020",Convention,"November 3, 2020",Non-Photo ID,TRUE,Fifteen Days Before Election,Day of Election,TRUE,FALSE,TRUE
AZ,Arizona,49.1,FALSE,null,null,null,TRUE,"March 17, 2020",Primary,"March 17, 2020",Primary,"November 3, 2020",Non-Photo ID,TRUE,Twenty-Six Days Before Election,Friday Before Election,FALSE,FALSE,TRUE
AR,Arkansas,41.4,FALSE,null,null,null,TRUE,"March 3, 2020",Primary,"March 3, 2020",Primary,"November 3, 2020",Photo ID,TRUE,Fifteen Days Before Election,"5:00 PM, Monday Before Election",FALSE,FALSE,FALSE
CA,California,49.6,FALSE,null,null,null,TRUE,"March 3, 2020",Primary,"March 3, 2020",Primary,"November 3, 2020",None,TRUE,Twenty-Nine Days Before Election,Day Before Election,TRUE,TRUE,TRUE
CO,Colorado,63,TRUE,"November 5, 2019",General Election,Statewide,TRUE,"March 3, 2020",Primary,"March 3, 2020",Primary,"November 3, 2020",Non-Photo ID,TRUE,All Mail: Fifteen Days Before Election,Day of Election,TRUE,TRUE,TRUE
CT,Connecticut,54.4,FALSE,null,null,null,TRUE,"April 28, 2020",Primary,"April 28, 2020",Primary,"November 3, 2020",Non-Photo ID,FALSE,Not Permitted,Not Permitted,FALSE,TRUE,TRUE
DE,Delaware,51.4,FALSE,null,null,null,TRUE,"April 28, 2020",Primary,"April 28, 2020",Primary,"November 3, 2020",Non-Photo ID,FALSE,Begins 2022,Begins 2022,FALSE,FALSE,TRUE
DC,District of Columbia,43.7,FALSE,null,null,null,TRUE,"June 6, 2020",Primary,"March 14, 2020",Convention,"November 3, 2020",None,TRUE,Seven Days Before Election,Saturday Before Election,TRUE,TRUE,TRUE
FL,Florida,54.9,FALSE,null,null,null,TRUE,"March 17, 2020",Primary,"March 17, 2020",Primary,"November 3, 2020",Photo ID,TRUE,Ten Days Before Election,Three Days Before Election,FALSE,FALSE,TRUE
GA,Georgia,55,FALSE,null,null,null,TRUE,"March 24, 2020",Primary,"March 24, 2020",Primary,"November 3, 2020",Photo ID,TRUE,Fourth Monday Before Election,Friday Before Election,TRUE,FALSE,TRUE
HI,Hawaii,39.3,FALSE,null,null,null,TRUE,"April 4, 2020",Primary,"March 10, 2020",Caucus,"November 3, 2020",Non-Photo ID,TRUE,Ten Working Days Before Election,"5:00 PM, Friday Before Election",FALSE,TRUE,TRUE
ID,Idaho,50,FALSE,null,null,null,TRUE,"March 10, 2020",Primary,"March 10, 2020",Primary,"November 3, 2020",Photo ID,TRUE,Third Monday Before Election,"5:00 PM, Friday Before Election",FALSE,TRUE,TRUE
IL,Illinois,51.4,FALSE,null,null,null,TRUE,"March 17, 2020",Primary,"March 17, 2020",Primary,"November 3, 2020",None,TRUE,"Fortieth Day Before Election(Temporary Polling Locations), Fifteenth Day Before Election (Permanent Polling Locations)",End of Day Before Election,TRUE,TRUE,TRUE
IN,Indiana,46.9,FALSE,null,null,null,TRUE,"May 5, 2020",Primary,"May 5, 2020",Primary,"November 3, 2020",Photo ID,TRUE,Twenty-eight Days Before Election,"12:00 PM, Day Before Election",FALSE,FALSE,TRUE
IA,Iowa,57.7,FALSE,null,null,null,TRUE,"February 3, 2020",Caucus,"February 3, 2020",Caucus,"November 3, 2020",Non-Photo ID,TRUE,Twenty-Nine Days Before Election,"5:00 PM, Day Before Election",FALSE,TRUE,TRUE
KS,Kansas,51.2,TRUE,"November 5, 2019",General Election,Statewide,TRUE,"May 2, 2020",Primary,"March 7, 2020",Caucus,"November 3, 2020",Photo ID,TRUE,Twenty Days Before Election OR Tuesday Before Election,"12:00 PM, Day Before Election",FALSE,FALSE,TRUE
